FECHA_CORTE;CODIGO_UNICO;SECTOR;OPMI;UF;UEI;UBIGEO;DEPRTAMENTO;PROVINCIA;FUNCION;TIPO_DE_INVERSION;NOMBRE_DE_INVERSION;COSTO_ACTUALIZADO;DEVENGADO_ACUMULADO_AL_31_DIC_2021);PIM_2022;MONTO_ANO_2022;MONTO_ANO_2023;MONTO_ANO_2024;MONTO_ANO_2025
20/10/2022;2353328;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150400;LIMA;CANTA;SALUD;PROYECTO DE INVERSION;MEJORAMIENTO DE LA COBERTURA DE ATENCION INTEGRAL DE SALUD, CON LA IMPLEMENTACION DE EQUIPOS ITINERANTES EN LAS POBLACIONES EXCLUIDAS Y DISPERSA DE LA RED DE SALUD CANTA - PROVINCIA DE CNTA - REGION LIMA;1993913;1979324;0;0;0;14589;0
20/10/2022;2078234;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150200;LIMA;BARRANCA;SALUD;PROYECTO DE INVERSION;FORTALECIMIENTO INTEGRAL DE LA CAPACIDAD RESOLUTIVA DE LOS SERVICIOS DE ATENCION DEL HOSPITAL DE SUPE;39956104;35375268;5552574;6139336;0;0;0
20/10/2022;2086669;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA SUB REGIONAL LIMA SUR;151000;LIMA;YAUYOS;SALUD;PROYECTO DE INVERSION;MEJORAMIENTO  DE LA CAPACIDAD RESOLUTIVA  Y DE LA ATENCION  EN EL PUESTO DE SALUD I-1 C.P.  DE HUANCACHI -TOMAS-YAUYOS;646663;646642;0;0;0;22;0
20/10/2022;2130476;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150800;LIMA;HUAURA;SALUD;PROYECTO DE INVERSION;MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA DEL CENTRO DE SALUD MANZANARES NIVEL I-4 MICRORED HUALMAY, RED DE SALUD HUAURA OYÓN;8776153;7915531;30813;845622;0;829810;0
20/10/2022;2307982;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI;GERENCIA REGIONAL DE INFRAESTRUCTURA;150700;LIMA;HUAROCHIRI;SALUD;PROYECTO DE INVERSION;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE SALUD DEL PUESTO DE SALUD  EL VALLE  EN EL ASENTAMIENTO HUMANO VALLE  SAGRADO ANEXO 22  JICAMARCA, DISTRITO DE SAN ANTONIO, PROVINCIA DE HUAROCHIRI - LIMA;14266900;13982923;270172;2272490;0;13805;0
20/10/2022;2312101;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150200;LIMA;BARRANCA;EDUCACION;PROYECTO DE INVERSION;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE EDUCACION DEL NIVEL INICIAL EN LA I.E.I. N 20832 DEL CENTRO POBLADO EL PORVENIR, DISTRITO PATIVILCA, PROVINCIA BARRANCA, REGION LIMA;3184109;3049193;134917;141748;0;0;0
20/10/2022;2485314;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150600;LIMA;HUARAL;SALUD;PROYECTO DE INVERSION;"ADQUISICION DE MONITOR DE FUNCIONES VITALES, VENTILADOR MECANICO, EQUIPO Y ESCALÓN DE PLATAFORMA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) EESS HOSPITAL SAN JUAN BAUTISTA HUARAL - HUARAL  DISTRITO DE HUARAL, PROVINCIA HUARAL, DEPARTAMENTO LIMA";3097532;3040540;42392;0;46748;0;0
20/10/2022;2485338;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150200;LIMA;BARRANCA;SALUD;PROYECTO DE INVERSION;"ADQUISICION DE VENTILADOR MECANICO, VENTILADOR DE TRANSPORTE, RINOLARINGOSCOPIO Y MONITOR DE FUNCIONES VITALES; ADEMÁS DE OTROS ACTIVOS EN EL(LA) EESS HOSPITAL DE BARRANCA - BARRANCA  DISTRITO DE BARRANCA, PROVINCIA BARRANCA, DEPARTAMENTO LIMA";3278989;3249319;20274;0;9396;0;0
20/10/2022;2106392;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150500;LIMA;CAÑETE;SALUD;PROYECTO DE INVERSION;CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOSPITAL REGIONAL EN LA PROVINCIA DE CAÑETE;219185051;213524900;5660151;2592812;3041637;0;0
20/10/2022;2193036;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;MUNICIPALIDAD DISTRITAL DE ANTIOQUIA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150700;LIMA;HUAROCHIRI;EDUCACION;PROYECTO DE INVERSION;MEJORAMIENTO DE LA INFRAESTRUCTURA Y EQUIPAMIENTO DE LA IE 20537 ANDRES A. CACERES ESPIRITU SANTO, DISTRITO DE ANTIOQUIA - HUAROCHIRI - LIMA;1788777;1762996;25781;25781;0;0;0
